LABELS
SEPARATOR TAB
DATA
0_4_0_22_2_9_12	0.4.0.22.2.9.12: Node added
0_4_0_22_2_9_15	0.4.0.22.2.9.15: Node added
0_4_0_22_2_9_22	0.4.0.22.2.9.22: Node removed
0_4_0_22_2_9_25	0.4.0.22.2.9.25: Node added
0_4_0_22_2_12_3	0.4.0.22.2.12.3: Node removed
0_4_0_22_2_12_6	0.4.0.22.2.12.6: Node added
0_4_0_22_2_12_12	0.4.0.22.2.12.12: Node added
0_4_0_22_2_12_15	0.4.0.22.2.12.15: Node removed
0_4_0_22_2_12_19	0.4.0.22.2.12.19: Node added
0_4_0_22_2_12_21	0.4.0.22.2.12.21: Node removed
0_4_0_22_2_12_24	0.4.0.22.2.12.24: Node removed
0_4_0_22_2_15_18	0.4.0.22.2.15.18: Node removed
0_4_0_22_4	0.4.0.22.4: Node removed
0_4_0_22_5_6	0.4.0.22.5.6: Node added
0_4_0_22_5_9_3	0.4.0.22.5.9.3: Node removed
0_4_0_22_5_9_6	0.4.0.22.5.9.6: Node removed
0_4_0_22_5_9_9	0.4.0.22.5.9.9: Node removed
0_4_0_22_5_9_12	0.4.0.22.5.9.12: Node removed
0_4_0_22_5_9_15	0.4.0.22.5.9.15: Node removed
0_4_0_22_5_9_18	0.4.0.22.5.9.18: Node removed
0_4_0_22_5_9_21	0.4.0.22.5.9.21: Node removed
0_4_0_22_5_9_22	0.4.0.22.5.9.22: Node removed
0_4_0_22_5_9_25	0.4.0.22.5.9.25: Node removed
0_4_0_22_5_9_0_4_0_22_5_9	0.4.0.22.5.9.0_4_0_22_5_9: Node added
0_4_0_22_5_12_3	0.4.0.22.5.12.3: Node removed
0_4_0_22_5_12_6	0.4.0.22.5.12.6: Node removed
0_4_0_22_5_12_25	0.4.0.22.5.12.25: Node removed
0_4_0_22_5_15_0	0.4.0.22.5.15.0: Node removed
0_4_0_22_5_15_9	0.4.0.22.5.15.9: Node removed
0_4_0_22_5_15_19	0.4.0.22.5.15.19: Node removed
0_4_0_22_5_15_0_4_0_22_5_15	0.4.0.22.5.15.0_4_0_22_5_15: Node added
0_4_0_22_5_18	0.4.0.22.5.18: Node added
0_4_0_22_8_0_0	0.4.0.22.8.0.0: Node added
0_4_0_22_8_0_0_4_0_22_8_0	0.4.0.22.8.0.0_4_0_22_8_0: Node removed
0_4_0_22_8_0_18	0.4.0.22.8.0.18: Node added
0_4_0_22_8_0_21	0.4.0.22.8.0.21: Node added
0_4_0_22_8_0_24	0.4.0.22.8.0.24: Node added
0_4_0_22_8_0_9	0.4.0.22.8.0.9: Node added
0_4_0_22_8_0_12	0.4.0.22.8.0.12: Node added
0_4_0_22_8_18_1	0.4.0.22.8.18.1: Node added
0_4_0_22_8_18_0_4_0_22_8_18	0.4.0.22.8.18.0_4_0_22_8_18: Node removed
0_4_0_22_8_18_4	0.4.0.22.8.18.4: Node added
0_4_0_22_8_18_7	0.4.0.22.8.18.7: Node added
0_4_0_22_8_9_13	0.4.0.22.8.9.13: Node added
0_4_0_22_8_9_25	0.4.0.22.8.9.25: Node removed
0_4_0_25_1_2_6	0.4.0.25.1.2.6: Node removed
0_4_0_25_1_2_9	0.4.0.25.1.2.9: Node removed
0_4_0_25_1_2_18	0.4.0.25.1.2.18: Node removed
0_4_0_25_1_2_21	0.4.0.25.1.2.21: Node removed
0_4_0_25_1_5_18	0.4.0.25.1.5.18: Node added
0_4_0_25_2_0_0	0.4.0.25.2.0.0: Node added
0_4_0_25_2_0_6	0.4.0.25.2.0.6: Node added
0_4_0_25_2_0_15	0.4.0.25.2.0.15: Node added
0_4_0_25_2_3_0	0.4.0.25.2.3.0: Node added
0_4_0_25_2_3_3	0.4.0.25.2.3.3: Node added
0_4_0_25_2_3_6	0.4.0.25.2.3.6: Node added
0_4_0_25_2_3_12	0.4.0.25.2.3.12: Node added
0_4_0_25_2_3_15	0.4.0.25.2.3.15: Node added
0_4_0_25_2_3_21	0.4.0.25.2.3.21: Node added
0_4_0_25_2_6	0.4.0.25.2.6: Node added
0_4_0_25_2_9_0	0.4.0.25.2.9.0: Node added
0_4_0_25_2_9_9	0.4.0.25.2.9.9: Node added
0_4_0_25_2_9_10	0.4.0.25.2.9.10: Node added
0_4_0_25_2_9_16	0.4.0.25.2.9.16: Node added
0_4_0_25_2_12_10	0.4.0.25.2.12.10: Node removed
0_4_0_25_2_12_13	0.4.0.25.2.12.13: Node added
0_4_0_25_2_15_0	0.4.0.25.2.15.0: Node added
